ID,Grupo,ESTRUTURA,OCUPACAO,Banheiros,Uso,Esgoto,AREA,VV2001,VV2007
1,comparacao,Madeira,Residencial,Interna,Próprio,Sim,21.74,297.946433755516,1414.92115304382
2,comparacao,Concreto,Residencial,Interna,Próprio,Não,33.19,903.08635977196,4319.69452205136
3,comparacao,Madeira,Residencial,Sem,Próprio,Não,53.49,1687.33919857048,4697.81179492906
4,comparacao,Alvenaria,Residencial,Externa,Próprio,Não,21.25,286.333370074752,1268.00496979073
5,comparacao,Madeira,Residencial,Sem,Próprio,Não,75.63,475.902202059648,2552.17715308246
6,comparacao,Madeira,Residencial,Sem,Próprio,Não,85.72,539.381748691968,2892.63955493247
7,comparacao,Madeira,Residencial,Interna,Próprio,Não,32.51,415.742623548616,2146.18509008686
8,comparacao,Madeira,Residencial,Externa,Próprio,Não,25.75,369.43067690256,1629.8539341943
9,comparacao,Concreto,Residencial,Interna,Próprio,Não,45.22,1083.78992202026,3412.10389832715
10,comparacao,Madeira,Residencial,Interna,Próprio,Não,47.04,946.252447764988,2703.04410905266
11,comparacao,Concreto,Residencial,Interna,Próprio,Sim,29.22,3468.74213754432,5121.09358846717
12,comparacao,Madeira,Residencial,Interna,Próprio,Sim,85.03,894.25730715048,4998.84224843691
13,comparacao,Concreto,Residencial,Interna,Próprio,Não,56.77,1867.23142809548,8102.83673743469
14,comparacao,Madeira,Residencial,Externa,Próprio,Não,50.99,1080.06451913578,3325.33396043182
15,comparacao,Concreto,Residencial,Interna,Próprio,Não,39.53,1091.77349736946,4628.67141212204
16,comparacao,Madeira,Residencial,Interna,Próprio,Sim,54.84,802.51124934344,4120.1422998727
17,comparacao,Madeira,Residencial,Externa,Próprio,Não,32.51,415.742623548616,2146.18509008686
18,comparacao,Concreto,Residencial,Interna,Próprio,Não,104.54,2666.05712018646,8585.97385377795
19,comparacao,Concreto,Residencial,Interna,Próprio,Sim,44.13,1448.74781564458,5709.46218293162
20,comparacao,Concreto,Residencial,Interna,Próprio,Não,66.27,1238.37578435626,6397.19826433971
21,comparacao,Concreto,Residencial,Interna,Próprio,Não,61.62,2158.40624146384,7313.7763933764
22,comparacao,Alvenaria,Residencial,Interna,Próprio,Não,79.25,1257.12280954624,5730.07598513971
23,comparacao,Madeira,Residencial,Sem,Próprio,Não,65.26,801.492598960508,3761.69148054611
24,comparacao,Madeira,Residencial,Externa,Próprio,Não,177.41,1864.64810033574,11035.1692588718
25,comparacao,Madeira,Residencial,Externa,Próprio,Não,177.69,1956.86970739406,11347.6905910794
26,comparacao,Concreto,Residencial,Externa,Próprio,Não,126.86,2119.92250197837,11353.2901680231
27,comparacao,Madeira,Residencial,Externa,Próprio,Não,131.03,1573.74755923403,8055.14578905176
28,comparacao,Madeira,Residencial,Interna,Próprio,Sim,118.07,3008.51563720853,8444.53670839789
29,comparacao,Madeira,Residencial,Interna,Próprio,Não,109.82,1441.37378192371,7282.63013574904
30,comparacao,Concreto,Residencial,Interna,Próprio,Não,45.41,3950.96608003442,17967.5166119148
31,comparacao,Madeira,Residencial,Interna,Próprio,Não,189,1830.31294259923,10762.2628606601
32,comparacao,Madeira,Residencial,Externa,Próprio,Não,131.03,1573.74755923403,8055.14578905176
33,comparacao,Madeira,Residencial,Interna,Próprio,Não,60.39,1321.0948850514,4056.12791375406
